date,event_name,event_type,notes
2017-09-04,Getting Started (Orientation),Getting started,First-year onboarding
2017-09-05,Getting Started (Orientation),Getting started,First-year onboarding
2017-09-06,Getting Started (Orientation),Getting started,First-year onboarding
2017-09-26,EQUIS Accreditation,Special event,Accreditation days
2017-09-27,EQUIS Accreditation,Special event,Accreditation days
2017-09-28,EQUIS Accreditation,Special event,Accreditation days
2017-10-02,Careers Week,Careers Week,Week 40
2017-10-03,Careers Week,Careers Week,Week 40
2017-10-04,Careers Week,Careers Week,Week 40
2017-10-05,Careers Week,Careers Week,Week 40
2017-10-06,Careers Week,Careers Week,Week 40
2017-12-25,Christmas Break,University Closed,
2017-12-26,Christmas Break,University Closed,
2017-12-27,Christmas Break,University Closed,
2017-12-28,Christmas Break,University Closed,
2017-12-29,Christmas Break,University Closed,
2017-12-30,Christmas Break,University Closed,
2017-12-31,Christmas Break,University Closed,
2018-01-01,Christmas Break,University Closed,
2018-03-30,Good Friday,Public holiday,
2018-04-01,Easter (Sun & Mon),Public holiday,
2018-04-02,Easter (Sun & Mon),Public holiday,
2018-04-27,King's Day,Public holiday,
2018-05-05,Liberation Day,Public holiday,
2018-05-10,Ascension Day,Public holiday,
2018-05-20,Whit Sunday & Whit Monday,Public holiday,
2018-05-21,Whit Sunday & Whit Monday,Public holiday,
2018-09-03,Getting Started (Orientation),Getting started,First-year onboarding
2018-09-04,Getting Started (Orientation),Getting started,First-year onboarding
2018-09-05,Getting Started (Orientation),Getting started,First-year onboarding
2018-10-29,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2018-10-30,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2018-10-31,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2018-11-01,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2018-11-02,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2018-12-24,Christmas Break,University Closed,
2018-12-25,Christmas Break,University Closed,
2018-12-26,Christmas Break,University Closed,
2018-12-27,Christmas Break,University Closed,
2018-12-28,Christmas Break,University Closed,
2018-12-29,Christmas Break,University Closed,
2018-12-30,Christmas Break,University Closed,
2018-12-31,Christmas Break,University Closed,
2019-01-01,Christmas Break,University Closed,
